35026	35834	34475	34678	32243	31594	34665	33674	32496	31692	35595	35513	35749	38052	38336	40156	40529	39022	35467	37314	36649	37332	33382	33578	35815	35520	36851	39187	37555	36687
42203	40001	40003	39452	37276	35391	33824	33603	32298	32131	29793	30837	31785	31518	31394	31840	32820	32728	33113	34227	33510	33797	32866	33867	34225	33687	35298	34742	33813	33543
46992	48777	48897	49064	46831	48994	47714	49539	49254	48875	49324	46755	44723	44691	45996	46991	47081	47809	44403	45564	45593	46284	43792	44614	42795	40867	39736	38130	39168	39878
43823	41536	41022	42172	43203	42686	42819	44869	43551	40651	42870	47238	48306	47282	47748	48130	47077	44949	46062	45161	44842	46385	46061	46779	52672	51768	49918	49999	49274	48819
61309	61840	62242	60582	58438	60310	63067	60866	61312	60690	62210	65979	64278	62056	61527	60861	61672	57345	57380	56015	57477	54687	54942	53914	53783	55323	51469	49227	48200	47666
56882	57794	57291	54765	53730	58935	57171	57573	56308	58714	59717	58083	56955	60367	60089	63597	65508	64398	64134	64806	64932	66904	67527	63273	61483	60974	61412	62918	63221	60915
47123	46461	47545	50678	50779	50406	50786	50801	48599	48902	46895	46704	46856	46172	47628	48871	48366	46703	50081	49314	47137	47596	50473	50595	50562	49405	49195	53631	56496	57210
37917	38170	37745	37164	36800	36950	36686	36269	35075	36475	40715	41677	42364	42209	43079	43097	43073	42560	43901	42733	41832	41848	41672	41546	43097	43425	45837	46430	47311	47738
43912	44420	43188	37689	39115	39209	38339	37224	38248	37017	38355	40090	40000	40552	43883	44544	42550	42061	42205	42388	43521	44388	44038	43833	42392	41412	41567	37287	36890	38709
46297	45525	47075	47449	47105	46859	44548	44331	44013	42912	42373	41022	41276	42233	41767	40914	41118	39285	39671	37792	38814	38730	39416	41929	38744	38024	38403	39395	39142	42463
38461	37650	38581	39748	39243	38113	40427	39464	39418	39709	40482	41368	41503	40803	39703	40382	40560	39936	41133	40078	39497	42138	42767	42275	43448	43173	45506	46629	46407	45811
29798	31793	31723	29465	29027	28601	29203	29540	29648	29093	30286	29434	29178	30305	28683	30437	29849	31308	30080	29284	28976	29068	31007	30095	34060	35468	36009	36544	39688	37718
